Recipe_ID,calories,TotalFat,SaturatedFat,Cholesterol,Sodium,Potassium,TotalCarbohydrates,DietaryFiber,Protein,Sugars,VitaminA,VitaminC,Calcium,Iron,Thiamin,Niacin,VitaminB6,Magnesium,Folate
257466,421.0,16.4,3.0,8,1965,773,57.6,7.5,15.5,5,2058,49,131,2,0,3,1,62,88
23128,573.0,18.6,8.0,70,453,782,68.9,5.7,35,4,1153,14,378,6,0,14,1,86,181
17930,396.0,11.4,2.0,66,560,702,38.4,3.5,34,6,636,12,26,3,0,22,1,35,49
274544,476.0,27.9,16.0,84,688,288,47.6,3.6,12,5,211,44,74,2,1,7,0,42,149
23230,606.0,34.1,20.0,264,878,396,43.2,2,31.4,2,1172,3,123,4,1,6,0,34,134
11985,617.0,38.7,14.0,90,1372,424,37.5,3.3,29.5,4,372,33,278,3,0,11,0,29,57
37677,624.0,36.4,13.0,80,1962,355,45.4,3,28.5,9,625,6,367,5,0,11,0,38,60
9045,865.0,35.4,18,131,1262,236,91.8,3,47.9,42,687,2,375,1,0,15,0,34,34
184068,410.0,21.1,9.0,53,1063,387,32.5,2.1,22.2,4,666,19,358,3,0,9,0,34,93
43641,857.0,50.9,22.0,109,2283,320,59.5,2.5,43.2,5,440,2,438,1,0,5,0,33,9
239853,422.0,29.6,12.0,145,1196,395,24.2,1.6,18.4,3,413,4,117,2,0,4,0,11,13
17743,188.0,7.6,4.0,22,574,153,19.7,1.1,10,4,330,10,146,1,0,3,0,12,7
36107,275.0,13.2,5.0,23,469,73,26.2,1.2,14.3,1,488,1,226,0,0,2,0,10,11
55307,525.0,30.8,11.0,58,1093,218,37.1,1.6,23.7,6,696,5,452,2,0,5,0,22,19
25425,820.0,43.3,19.0,154,2181,413,50.9,3.7,53.8,12,1106,15,671,5,0,16,0,56,90
230763,306.0,26.6,11.0,40,790,450,7.4,1.8,11.7,4,875,18,315,1,0,2,0,27,31
9021,554.0,28.3,9.0,54,741,637,43.2,4.6,34.9,1,826,18,323,3,0,18,1,100,79
