Recipe_ID,calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
233570,642.0,36.2,17.0,102,1684,452,45.5,6.7,32.7,3,1219,16,480,4,0,8,0,42,65
84921,308.0,21.5,7.0,68,578,532,5,0.9,22.5,2,340,18,32,1,0,6,0,8,11
44410,338.0,16.1,8.0,42,708,236,32.7,3,14.8,2,533,3,225,3,0,6,0,23,77
72421,207.0,14.6,5.0,59,600,307,2.8,1.2,15.9,1,934,15,28,1,0,6,0,19,8
231617,610.0,22.9,10.0,113,2303,632,67.6,5.7,45.9,3,794,27,333,5,0,22,1,114,44
222993,470.0,27.9,10.0,52,807,670,38.3,3.9,17.2,9,1580,46,265,5,0,8,0,41,102
234856,273.0,8.6,3.0,37,524,182,29.4,1.9,16.3,2,348,1,62,2,0,8,0,23,63
228915,402.0,20.5,6.0,14,778,780,43.9,12.8,13,4,741,15,170,3,0,4,0,79,134
279677,601.0,37.6,15.0,100,900,489,37.7,3.9,30.1,3,1047,11,396,3,0,9,0,98,31
272457,465.0,26,11.0,59,822,477,38.8,5.8,20.9,2,623,12,109,2,0,6,0,71,34
232061,423.0,17.6,7.0,39,443,482,50.8,5.3,16,3,1039,19,223,2,0,3,0,57,24
241674,743.0,40.7,18.0,120,1229,938,56.1,13.6,40.1,4,1010,17,538,6,0,12,1,130,57
22122,383.0,22.9,12.0,71,719,261,21.8,4.4,22.4,2,1195,3,386,3,0,6,0,42,14
16683,51.0,2.2,0.0,0,5,274,7.8,1.8,1.7,3,361,129,22,1,0,2,0,15,27
101079,495.0,26.4,15.0,106,1247,650,32.4,2,32.5,5,761,43,112,3,1,11,1,45,53
246845,287.0,14.3,2.0,19,341,565,35.6,7.4,9.9,13,859,82,62,1,0,6,1,51,61
8707,533.0,24.9,12.0,139,2043,621,30.5,3.6,46.6,2,1287,17,400,3,0,20,1,83,22
267953,672.0,42.6,21.0,113,1901,447,43.8,2.9,37.5,2,1749,5,663,3,0,10,0,37,80
8945,537.0,28.1,15.0,95,1131,467,39.9,3.3,31.4,3,831,2,417,3,0,12,0,46,76
246673,525.0,32.2,19.0,107,723,219,35.6,7.8,27,3,368,3,650,2,0,1,0,65,16
137576,405.0,18.5,9.0,54,1267,573,38.2,3.8,21.9,5,1423,29,295,3,0,5,0,49,92
18795,511.0,35.5,17.0,258,886,556,13.3,1.1,33.2,6,996,32,368,3,0,12,0,49,56
76012,706.0,44,22.0,160,909,403,38.7,2.4,38.1,2,1217,11,355,4,0,20,1,50,88
22644,310.0,14.9,7.0,34,1177,631,34.1,6.6,13.4,7,999,10,313,3,0,5,0,69,23
22286,577.0,38,19.0,112,667,463,30.1,4.4,30,2,1200,17,373,4,0,8,0,74,25
59900,559.0,25,7.0,84,1344,866,48.9,8.2,37.1,7,1443,23,278,3,0,19,1,119,39
278653,286.0,12.6,7.0,51,850,475,26.6,5.1,18.7,4,313,4,61,2,0,5,0,52,19
214583,296.0,18.8,7.0,140,707,192,19.4,1.3,11.7,2,457,2,137,2,0,4,0,18,53
228134,481.0,38,14.0,90,690,416,12.2,2.3,24,3,1302,4,325,3,0,8,0,47,21
16258,457.0,15.3,6.0,91,1143,722,56.1,6.6,24.7,7,880,8,84,7,0,11,0,77,143
261118,358.0,14,6.0,54,929,604,37.6,5.9,21.3,4,491,5,159,4,0,8,0,54,109
25145,384.0,16.6,6.0,59,1286,544,34,7.4,26.8,4,872,3,215,3,0,9,0,68,76
165783,209.0,7.1,3.0,13,441,250,36.8,4,10.2,1,627,20,293,1,0,2,0,50,29
15302,310.0,6.4,1.0,68,863,463,27.9,7.5,35,2,329,6,65,4,0,19,1,51,37
222610,304.0,10,2.0,1,714,412,44.2,9.2,9.4,3,100,3,67,3,0,3,0,68,136
266647,361.0,22.1,12.0,70,1240,251,21.5,3.1,20.2,9,899,21,467,1,0,2,0,30,29
245189,634.0,34.6,18.0,91,883,451,54.5,4,25.7,2,1066,5,384,5,0,10,0,74,100
16767,301.0,4.7,3.0,13,625,234,43,3.3,10.5,1,507,1,214,3,0,3,0,32,93
18093,607.0,36.5,21.0,136,1078,435,42.6,2.6,26.8,2,1018,4,449,3,0,10,0,56,106
214572,506.0,30,12.0,72,1043,352,33.3,2.6,25.7,2,897,20,272,3,0,14,0,47,79
229057,462.0,22.2,9.0,52,1028,335,43.9,3.7,19.9,3,435,7,277,4,1,8,0,36,82
231937,684.0,38.1,17.0,69,1577,730,65,10.3,23.9,8,2391,43,467,5,1,8,0,63,141
273820,598.0,22.8,10.0,52,1050,572,68.9,5.8,28.2,6,893,49,187,6,1,12,0,52,149
19127,1030.0,64.9,15.0,98,2237,544,68,4.5,40.8,8,729,7,280,2,0,16,1,137,28
45729,278.0,11.3,3.0,117,677,196,36.3,5,9.6,2,191,0,122,2,0,3,0,62,20
18789,447.0,24,10.0,79,899,571,33.2,4.8,23.2,5,922,7,141,4,0,9,0,64,14
218030,499.0,18.3,7.0,79,936,567,47.3,1.5,32.8,4,481,20,182,3,1,13,1,47,94
13055,564.0,33.5,14.0,104,671,1062,39.6,6.3,27.1,5,614,27,123,5,0,12,1,70,75
12995,389.0,10.2,3.0,90,1808,901,49.5,4.8,26.9,12,666,26,91,6,0,12,1,55,99
258179,720.0,16.7,6.0,94,512,2687,102.6,16.5,45.6,17,6065,170,200,8,1,16,2,170,237
255269,455.0,26.2,11.0,70,2740,667,31.4,4.1,25.2,5,872,13,176,3,0,10,0,57,68
45048,396.0,13.5,4.0,73,382,619,39.4,6.6,29.2,4,1574,14,82,3,1,12,1,83,17
262299,425.0,15.5,4.0,11,1099,938,55.4,19.7,19,1,1460,11,190,5,0,6,0,115,159
15688,370.0,16.8,8.0,47,1467,739,40.5,4.5,18,5,827,15,177,3,0,8,0,60,74
73022,294.0,16.8,6.0,78,919,371,9.5,1,25,2,382,5,32,3,0,10,0,29,34
228385,484.0,33,14.0,67,1064,440,39,4.5,11.6,5,2564,33,315,3,0,2,0,87,31
72559,233.0,7.3,2.0,26,622,1266,25.7,5.4,15.1,7,6910,37,126,5,0,7,1,105,119
15342,651.0,48.6,15.0,145,532,867,17.4,4.3,34.5,1,248,4,71,3,1,15,1,77,133
98595,375.0,31.5,5.0,8,932,1123,22.3,13.9,5.8,4,731,25,42,2,0,5,1,66,170
59343,347.0,14.3,4.0,35,2637,602,39.4,7.6,17.5,7,681,19,188,3,0,6,0,69,69
238633,428.0,15.4,4.0,65,1495,1123,42,14.6,32.7,8,1820,52,146,7,0,13,1,105,124
262302,393.0,18.4,6.0,96,823,1089,32.3,4.6,25.3,5,741,43,62,3,0,11,1,63,59
233819,403.0,11.6,7.0,43,568,864,50.5,8.2,24.6,1,325,0,380,5,0,6,0,100,117
276973,198.0,8.6,3.0,52,697,455,12.4,3.6,18,1,438,18,65,3,0,7,0,40,42
84013,284.0,14.3,7.0,62,906,415,17,5.6,22.2,2,518,10,213,2,0,10,0,41,37
266539,289.0,19.6,7.0,82,237,449,5.3,1.1,22.1,2,346,10,53,2,0,9,0,37,14
26671,434.0,26.7,11.0,103,456,678,17.5,5.6,30.8,1,234,2,50,5,0,9,1,57,102
18084,347.0,14.1,5.0,69,1102,573,30.3,7,25.7,6,741,13,71,5,0,9,0,34,42
20262,615.0,36.4,18.0,345,982,415,41.6,3.1,30.5,3,1251,8,563,4,0,9,0,50,134
111364,600.0,28.9,14.0,89,898,341,52.6,2.8,32.4,13,520,5,470,3,0,13,0,51,81
277990,594.0,23.7,10.0,160,1083,357,65.6,5.5,31.1,3,3098,50,308,6,1,7,0,53,130
277991,543.0,28.2,11.0,178,850,376,39.1,3.1,32.2,3,1591,43,469,5,0,12,0,59,105
246147,380.0,18.2,8.0,103,596,388,17,2.2,35,1,4843,4,267,2,0,17,1,59,92
246356,1316.0,75.4,28.0,426,3662,250,59.8,2.6,74.4,2,1933,40,595,1,0,5,0,30,37
173053,1809.0,134.4,60.0,294,5092,1097,78.2,7.8,74,5,4104,7,1413,9,1,24,1,140,166
273354,350.0,14,4.0,14,720,404,45,5.4,12.6,3,497,8,271,3,0,6,0,38,119
246253,361.0,9.7,2.0,0,1190,555,58.9,8.3,10.9,6,602,41,166,5,1,5,0,59,156
275065,488.0,19.9,9.0,43,760,363,63.4,5.8,15.7,21,279,8,194,3,0,6,0,36,119
86011,731.0,39.8,15.0,96,2036,305,51.9,2.8,33.1,11,417,1,461,1,0,9,0,31,12
258915,114.0,1.5,0.0,0,23,97,23.3,3.3,3,1,1,0,42,1,0,1,0,37,3
276314,688.0,38.2,10.0,33,942,755,73.4,9.9,16.6,13,16278,9,352,4,1,8,1,95,122
273356,405.0,14.9,8.0,37,1643,669,54.3,12.6,18.8,5,507,6,306,5,0,5,0,91,121
177135,448.0,22,9.0,66,1366,268,40.8,4.6,21,1,400,0,289,3,0,6,0,27,69
189476,396.0,17.5,6.0,82,628,357,40.1,2.7,18.9,2,789,15,220,3,0,5,0,42,106
228746,618.0,28.6,18.0,90,1714,342,57.3,5.9,31.6,1,141,1,120,4,1,11,0,44,139
221296,971.0,53.2,19.0,140,2566,710,65.8,4.1,55.8,5,268,1,520,5,1,28,1,69,136
236613,641.0,31.8,10.0,71,899,944,71.9,14.1,33.3,2,1539,50,284,5,0,12,1,136,133
255447,524.0,17.5,7.0,77,1601,317,80.9,6.4,33.1,20,54,1,69,3,0,2,0,71,22
255678,839.0,62,35.0,517,1310,342,34,2.4,37.6,3,1711,9,171,6,0,6,0,35,124
24877,230.0,11.2,3.0,47,506,470,19,3.7,16.9,4,679,79,55,2,0,11,0,50,44
164198,300.0,10.7,2.0,77,553,608,25.7,9.2,27.7,5,5125,57,96,4,0,9,1,44,42
74439,899.0,70.3,24.0,134,1355,649,32.9,4.1,35,7,1588,9,609,3,0,10,0,95,60
242111,507.0,29.2,4.0,0,447,572,53.8,11.5,11.6,12,1733,56,58,3,0,3,0,54,107
35911,482.0,29.1,10.0,40,991,291,40.2,6.7,16,8,1615,11,361,2,0,3,0,48,28
75434,270.0,26.3,5.0,187,279,143,2.8,0.4,6,1,740,3,30,1,0,2,0,8,28
21638,231.0,14.9,2.0,177,323,343,4.7,2.1,19.9,1,853,31,46,3,0,8,0,42,30
222054,374.0,17.8,1.0,0,926,576,45,10.5,10.4,2,413,9,76,4,0,4,0,66,124
258927,81.0,0.2,0.0,0,135,159,21.6,1.4,0.6,19,376,18,13,0,0,0,0,12,8
86192,384.0,30.6,9.0,62,65,550,8.4,1.6,19.2,3,1705,74,116,3,0,4,0,48,64
24362,610.0,46.8,18.0,110,1186,412,13.6,1.9,32.9,3,1841,8,622,3,0,10,0,60,71
109999,253.0,21.7,3.0,0,15,586,10.2,5.9,2.6,3,5363,34,50,1,0,2,0,34,170
238326,328.0,9.4,1.0,0,767,968,55.5,12.1,7.9,10,27159,33,99,3,0,4,1,79,75
191248,245.0,11.1,2.0,14,663,423,13.3,4.6,22.7,2,772,59,40,3,0,10,0,48,52
172681,597.0,34,11.0,85,1541,612,43.2,3.7,29.9,6,1277,27,216,4,0,11,0,57,117
214663,434.0,31.3,13.0,78,602,646,18.2,6,21.3,1,1043,14,223,2,0,9,0,60,42
233912,381.0,17.7,6.0,50,899,327,36.9,6.6,18.7,10,406,2,181,3,0,5,0,56,22
14300,617.0,32.7,10.0,80,1630,828,50.4,5.3,32.6,10,1392,31,454,4,0,8,0,81,42
236452,234.0,5.6,1.0,0,210,441,55,5,6.3,23,3119,46,41,3,0,4,0,44,63
222056,91.0,0.4,0.0,0,275,346,18.3,5.7,4.8,5,333,12,39,2,0,2,0,35,52
257706,236.0,10.4,3.0,15,729,599,28.4,7.9,10.3,5,1112,15,147,3,0,3,0,53,102
263859,215.0,12.6,4.0,39,443,406,11.8,3.8,14.4,3,1150,30,137,3,0,6,0,39,44
14289,444.0,7.9,3.0,18,1406,203,81.5,10.3,16.3,7,843,6,269,3,0,1,0,12,23
268226,799.0,36,15.0,376,1549,444,84,4.7,33.5,5,1206,6,499,7,1,11,0,59,194
42812,188.0,8.1,3.0,60,1148,385,9.4,1.7,16.7,3,742,54,41,2,0,6,0,26,14
218067,442.0,20.7,12.0,66,1524,363,39.5,4,23.7,7,1084,6,318,3,0,3,0,17,8
273649,501.0,33.8,20.0,87,688,617,32.4,5.1,20.6,3,3282,11,491,2,0,7,0,87,76
221298,803.0,29.7,15.0,142,1536,798,73.8,4.5,57,12,1470,14,588,6,1,32,1,92,152
273750,494.0,25.4,11.0,67,1230,426,41.6,3.4,24.5,2,851,2,279,4,1,10,0,41,84
